Player,NFL_id,Pos,NFL_production_value,dataset_split,forty_yard_sec_z,vertical_jump_in_z,bench_reps_z,broad_jump_in_z,three_cone_sec_z,shuttle_sec_z,height_in_z,weight_lb_z,college_games_z,college_interceptions_z,college_interception_yards_z,college_interception_tds_z,college_passes_defended_z,college_combined_tackles_z,college_solo_tackles_z,college_assisted_tackles_z,college_sacks_z,college_tfl_z,college_forced_fumbles_z,college_fumble_recoveries_z,college_fumble_recovery_yards_z,college_fumble_recovery_tds_z,forty_yard_sec_missing,vertical_jump_in_missing,bench_reps_missing,broad_jump_in_missing,three_cone_sec_missing,shuttle_sec_missing,height_in_missing,weight_lb_missing,college_games_missing,college_interceptions_missing,college_interception_yards_missing,college_interception_tds_missing,college_passes_defended_missing,college_combined_tackles_missing,college_solo_tackles_missing,college_assisted_tackles_missing,college_sacks_missing,college_tfl_missing,college_forced_fumbles_missing,college_fumble_recoveries_missing,college_fumble_recovery_yards_missing,college_fumble_recovery_tds_missing
Deltha O'Neal,2146,CB,940.4,test,1.2477399055694416,-0.09300026703346613,0.020260898304570486,-0.0913142707684144,0.018646627838695376,0.05217386231499889,-0.45492032512163055,-0.5069215889021599,-0.49211191676975147,3.485526772263165,5.646682975021216,6.736962262737254,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Ahmed Plummer,2155,CB,816.3,train,-0.687668953762707,-0.09300026703346613,0.020260898304570486,-0.0913142707684144,0.018646627838695376,0.05217386231499889,-0.45492032512163055,-0.6830631157318814,0.04158692254392306,1.3384422805490555,0.686394003592116,-0.4728514166340949,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mark Roman,2165,CB,805.05,train,0.6785020057658702,-0.09300026703346613,0.020260898304570486,-0.0913142707684144,0.018646627838695376,0.05217386231499889,-0.45492032512163055,-0.9472754059764636,-3.160606113338124,-0.27187108823652695,1.1227157186715275,1.3296020032087423,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mike Brown,2170,S,1043.1,train,1.1338923256087292,-0.09300026703346613,-0.5271388102750575,-1.2471277802206653,-0.04782514732703388,-1.4288906163045525,-1.0860710464615502,0.4618568086613085,0.04158692254392306,1.3384422805490555,0.13525078454443823,-0.4728514166340949,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Rogers Beckett,2174,S,554.8,train,1.475435065490876,1.3190319563760464,-0.2534389559852435,-0.6692210254945399,-3.0390550297846435,1.1629722212796625,0.8073811175582088,0.7260690989058909,0.04158692254392306,0.801671157620528,-0.32403523132862655,1.3296020032087423,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Kenoy Kennedy,2176,S,809.8999999999999,train,2.5000632851373066,-1.101594712325975,-2.1693379360139415,-1.825034534946791,0.94925148015884,1.9960709905031582,0.8073811175582088,1.9590597867139414,-0.49211191676975147,0.2649000346920005,1.4442159297826729,-0.4728514166340949,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Jason Webster,2179,CB,763.7,val,-0.8015165337234192,-0.2947191560919679,0.2939607525943845,-0.0913142707684144,-1.1778453251443544,-1.7065902060457163,-1.7172217678014698,-1.65184151329535,-0.49211191676975147,0.801671157620528,-0.46182103609054603,-0.4728514166340949,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Dwayne Goodrich,2180,CB,30.199999999999996,test,-0.4599737938412724,-0.09300026703346613,0.020260898304570486,-0.0913142707684144,0.018646627838695376,0.05217386231499889,-0.45492032512163055,-0.3307800620724383,-1.025810756083426,0.2649000346920005,-0.14032082497940065,-0.4728514166340949,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Ike Charlton,2183,CB,232.79999999999995,train,-0.23227863391984793,-0.09300026703346613,0.020260898304570486,0.6792280688664196,0.018646627838695376,0.05217386231499889,-0.45492032512163055,0.5499275720761693,-0.49211191676975147,-0.8086422111650544,-0.002535020217481204,1.3296020032087423,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
William Bartee,2185,CB,458.75,test,-0.687668953762707,0.9155941782590429,0.020260898304570486,0.2939568990490026,-1.5766759761387004,-1.6140236761319924,0.8073811175582088,-0.5949923523170206,-0.49211191676975147,-0.8086422111650544,-0.7833212472016914,-0.4728514166340949,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Deon Grant,2188,S,1274.9499999999998,train,0.1092641059622989,-0.09300026703346613,-0.2534389559852435,-0.0913142707684144,0.018646627838695376,0.05217386231499889,1.4385318388981285,0.9022106257356124,-0.49211191676975147,3.485526772263165,3.0517169853384,1.3296020032087423,-0.05731028276090452,-0.10540444557242859,-0.05157958710740222,-0.19188271958148292,-0.4775441224635003,-0.1819713314890877,0.15004169174687998,-0.38749394545440313,-0.2302215311947184,-0.2580612937396559,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
