Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Kris Abrams-Draine,CB,Missouri,College Stats,5-11,179,4.44,33.5,,,,,Denver Broncos / 5th / 145th pick / 2024,AbraKr00,4429193
Isaiah Adams,G,Illinois,College Stats,6-4,315,5.22,24.5,,102.0,7.77,4.73,Arizona Cardinals / 3rd / 71st pick / 2024,AdamIs01,5084939
Rasheen Ali,RB,Marshall,College Stats,5-11,206,,,,,,,Baltimore Ravens / 5th / 165th pick / 2024,AlixRa00,4690013
Erick All,TE,Iowa,College Stats,6-4,252,,,,,,,Cincinnati Bengals / 4th / 115th pick / 2024,AllxEr00,4427834
Braelon Allen,RB,Wisconsin,College Stats,6-1,235,,32.0,26.0,117.0,,,New York Jets / 4th / 134th pick / 2024,AlleBr05,4685247
Joe Alt,OT,Notre Dame,College Stats,6-9,321,5.05,28.0,,112.0,7.31,4.51,Los Angeles Chargers / 1st / 5th pick / 2024,AltxJo01,N/A
Kiran Amegadjie,OT,Yale,,6-5,323,,,,,,,,-9999,N/A
Daijahn Anthony,SAF,Mississippi,College Stats,6-0,195,4.55,37.0,,116.0,,,Cincinnati Bengals / 7th / 224th pick / 2024,AnthDa00,4874448
Terrion Arnold,CB,Alabama,College Stats,6-0,189,4.5,37.0,,129.0,,,Detroit Lions / 1st / 24th pick / 2024,ArnoTe00,4592837
Gottlieb Ayedze,G,Maryland,College Stats,6-4,308,5.01,26.5,,112.0,,,,AyedGo00,N/A
Emani Bailey,RB,TCU,College Stats,5-7,202,4.61,33.5,,116.0,,,,BailEm00,N/A
Javon Baker,WR,Central Florida,College Stats,6-1,202,4.54,37.0,,121.0,,,New England Patriots / 4th / 110th pick / 2024,BakeJa00,4692022
AJ Barner,TE,Michigan,College Stats,6-6,251,,,,,,,Seattle Seahawks / 4th / 121st pick / 2024,BarnAJ00,4576297
Karsen Barnhart,G,Michigan,College Stats,6-5,306,5.21,29.5,,111.0,7.83,4.7,,-9999,N/A
Michael Barrett,LB,Michigan,College Stats,5-11,233,,,,,,,Carolina Panthers / 7th / 240th pick / 2024,BarrMi00,N/A
Graham Barton,C,Duke,College Stats,6-5,313,,,,,,,Tampa Bay Buccaneers / 1st / 26th pick / 2024,BartGr00,4429251
Cooper Beebe,G,Kansas St.,College Stats,6-3,322,5.03,27.5,,109.0,7.44,4.61,Dallas Cowboys / 3rd / 73rd pick / 2024,BeebCo00,N/A
Jaheim Bell,TE,Florida St.,College Stats,6-2,241,4.61,35.0,,124.0,,,New England Patriots / 7th / 231st pick / 2024,BellJa00,4429262
Trey Benson,RB,Florida St.,College Stats,6-0,216,4.39,33.5,,122.0,,,Arizona Cardinals / 3rd / 66th pick / 2024,BensTr01,4429275
JD Bertrand,LB,Notre Dame,College Stats,6-1,235,,,20.0,,,,Atlanta Falcons / 5th / 143rd pick / 2024,BertJD00,4428872
