Player,Pos,year,sportsref_predicted_url
Quinten Rollins,CB,2015,https://www.sports-reference.com/cfb/players/quinten-rollins-1.html
Adoree Jackson,CB,2017,https://www.sports-reference.com/cfb/players/adoree-jackson-1.html
Ahkello Witherspoon,CB,2017,https://www.sports-reference.com/cfb/players/ahkello-witherspoon-1.html
Budda Baker,S,2017,https://www.sports-reference.com/cfb/players/budda-baker-1.html
Jabrill Peppers,S,2017,https://www.sports-reference.com/cfb/players/jabrill-peppers-1.html
Justin Evans,S,2017,https://www.sports-reference.com/cfb/players/justin-evans-1.html
Malik Hooker,S,2017,https://www.sports-reference.com/cfb/players/malik-hooker-1.html
Marcus Williams,S,2017,https://www.sports-reference.com/cfb/players/marcus-williams-1.html
Marlon Humphrey,CB,2017,https://www.sports-reference.com/cfb/players/marlon-humphrey-1.html
Marshon Lattimore,CB,2017,https://www.sports-reference.com/cfb/players/marshon-lattimore-1.html
Montae Nicholson,S,2017,https://www.sports-reference.com/cfb/players/montae-nicholson-1.html
Quincy Wilson,CB,2017,https://www.sports-reference.com/cfb/players/quincy-wilson-1.html
Rasul Douglas,CB,2017,https://www.sports-reference.com/cfb/players/rasul-douglas-1.html
Shalom Luani,S,2017,https://www.sports-reference.com/cfb/players/shalom-luani-1.html
Sidney Jones,CB,2017,https://www.sports-reference.com/cfb/players/sidney-jones-1.html
Treston DeCoud,CB,2017,https://www.sports-reference.com/cfb/players/treston-decoud-1.html
Armani Watts,S,2018,https://www.sports-reference.com/cfb/players/armani-watts-1.html
Avonte Maddox,CB,2018,https://www.sports-reference.com/cfb/players/avonte-maddox-1.html
Carlton Davis,CB,2018,https://www.sports-reference.com/cfb/players/carlton-davis-1.html
D.J. Reed,CB,2018,https://www.sports-reference.com/cfb/players/dj-reed-1.html
Dane Cruikshank,S,2018,https://www.sports-reference.com/cfb/players/dane-cruikshank-1.html
Denzel Ward,CB,2018,https://www.sports-reference.com/cfb/players/denzel-ward-1.html
Derwin James,S,2018,https://www.sports-reference.com/cfb/players/derwin-james-1.html
Deshon Elliott,S,2018,https://www.sports-reference.com/cfb/players/deshon-elliott-1.html
Donte Jackson,CB,2018,https://www.sports-reference.com/cfb/players/donte-jackson-1.html
Greg Stroman,CB,2018,https://www.sports-reference.com/cfb/players/greg-stroman-1.html
Isaac Yiadom,CB,2018,https://www.sports-reference.com/cfb/players/isaac-yiadom-1.html
Isaiah Oliver,CB,2018,https://www.sports-reference.com/cfb/players/isaiah-oliver-1.html
