player,pos_expected,year,sportsref_predicted_url
D.J. Reed,CB,2018,https://www.sports-reference.com/cfb/players/dj-reed-1.html
Taron Johnson,CB,2018,https://www.sports-reference.com/cfb/players/taron-johnson-1.html
Darnell Savage,S,2019,https://www.sports-reference.com/cfb/players/darnell-savage-1.html
Ken Webster,CB,2019,https://www.sports-reference.com/cfb/players/ken-webster-1.html
Lonnie Johnson,CB,2019,https://www.sports-reference.com/cfb/players/lonnie-johnson-1.html
Marvell Tell,S,2019,https://www.sports-reference.com/cfb/players/marvell-tell-1.html
Mike Jackson,CB,2019,https://www.sports-reference.com/cfb/players/mike-jackson-1.html
Nasir Adderley,S,2019,https://www.sports-reference.com/cfb/players/nasir-adderley-1.html
Antoine Brooks Jr.,S,2020,https://www.sports-reference.com/cfb/players/antoine-brooks-jr-1.html
BoPete Keyes,CB,2020,https://www.sports-reference.com/cfb/players/bopete-keyes-1.html
Jeff Okudah,CB,2020,https://www.sports-reference.com/cfb/players/jeff-okudah-1.html
Reggie Robinson II,CB,2020,https://www.sports-reference.com/cfb/players/reggie-robinson-ii-1.html
Stantley Thomas-Oliver,CB,2020,https://www.sports-reference.com/cfb/players/stantley-thomas-oliver-1.html
Troy Pride,CB,2020,https://www.sports-reference.com/cfb/players/troy-pride-1.html
Greg Newsome,DB,2021,https://www.sports-reference.com/cfb/players/greg-newsome-1.html
Richard LeCounte,DB,2021,https://www.sports-reference.com/cfb/players/richard-lecounte-1.html
Trevon Moehrig,S,2021,https://www.sports-reference.com/cfb/players/trevon-moehrig-1.html
Andrew Booth,CB,2022,https://www.sports-reference.com/cfb/players/andrew-booth-1.html
Cam Taylor-Britt,CB,2022,https://www.sports-reference.com/cfb/players/cam-taylor-britt-1.html
Cobie Durant,CB,2022,https://www.sports-reference.com/cfb/players/cobie-durant-1.html
Derek Stingley,CB,2022,https://www.sports-reference.com/cfb/players/derek-stingley-1.html
JT Woods,S,2022,https://www.sports-reference.com/cfb/players/jt-woods-1.html
Zyon McCollum,CB,2022,https://www.sports-reference.com/cfb/players/zyon-mccollum-1.html
James Williams,SAF,2024,https://www.sports-reference.com/cfb/players/james-williams-1.html
Benjamin Morrison,CB,2025,https://www.sports-reference.com/cfb/players/benjamin-morrison-1.html
Billy Bowman Jr.,SAF,2025,https://www.sports-reference.com/cfb/players/billy-bowman-jr-1.html
Dante Trader Jr.,SAF,2025,https://www.sports-reference.com/cfb/players/dante-trader-jr-1.html
Kevin Winston Jr.,SAF,2025,https://www.sports-reference.com/cfb/players/kevin-winston-jr-1.html
Rayuan Lane III,SAF,2025,https://www.sports-reference.com/cfb/players/rayuan-lane-iii-1.html
Shavon Revel Jr.,CB,2025,https://www.sports-reference.com/cfb/players/shavon-revel-jr-1.html
Will Johnson,CB,2025,https://www.sports-reference.com/cfb/players/will-johnson-1.html
