assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
19,,SR,72,MAC,,2014,1,0,0,0,12,1,35,7,https://www.sports-reference.com/cfb/players/quinten-rollins-1.html,9,Quinten Rollins,DB,0.0,Miami (OH),2026-04-01T19:26:27.479Z,53,season_totals,4.0
9,AA,JR,55,Pac-12,,2016,0,2,0,26,13,0,21,5,https://www.sports-reference.com/cfb/players/adoree-jackson-1.html,11,Adoree Jackson,CB/DB,0.0,USC,2026-04-01T19:26:33.704Z,46,season_totals,2.0
4,,SR,23,Pac-12,,2016,1,1,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/ahkello-witherspoon-1.html,22,Ahkello Witherspoon,DB,0.0,Colorado,2026-04-01T19:26:39.816Z,19,season_totals,0.0
22,AA,JR,71,Pac-12,,2016,1,0,0,0,14,0,18,2,https://www.sports-reference.com/cfb/players/budda-baker-1.html,6,Budda Baker,DB,3.0,Washington,2026-04-01T19:26:46.026Z,49,season_totals,10.0
25,"H-5,AA",JR,72,Big Ten,,2016,1,0,0,0,12,0,11,1,https://www.sports-reference.com/cfb/players/jabrill-peppers-1.html,0,Jabrill Peppers,DB/S/LB,4.0,Michigan,2026-04-01T19:26:51.848Z,47,season_totals,16.0
35,,SR,87,SEC,,2016,0,0,0,0,13,0,0,4,https://www.sports-reference.com/cfb/players/justin-evans-1.html,8,Justin Evans,DB,0.0,Texas A&M,2026-04-01T19:26:57.615Z,52,season_totals,5.0
31,AA,SO,74,Big Ten,,2016,0,0,0,0,13,3,181,7,https://www.sports-reference.com/cfb/players/malik-hooker-1.html,4,Malik Hooker,S,0.5,Ohio State,2026-04-01T19:27:03.713Z,43,season_totals,5.5
0,,SR,0,CUSA,,2012,0,0,0,0,7,0,0,0,https://www.sports-reference.com/cfb/players/marcus-williams-1.html,0,Marcus Williams,WR,0.0,Houston,2026-04-01T19:27:09.766Z,0,season_totals,0.0
10,,SO,36,SEC,,2016,1,0,0,0,15,1,18,2,https://www.sports-reference.com/cfb/players/marlon-humphrey-1.html,5,Marlon Humphrey,DB,0.0,Alabama,2026-04-01T19:27:15.766Z,26,season_totals,3.0
11,,SO,41,Big Ten,,2016,0,0,0,0,13,1,61,4,https://www.sports-reference.com/cfb/players/marshon-lattimore-1.html,9,Marshon Lattimore,CB,0.0,Ohio State,2026-04-01T19:27:21.843Z,30,season_totals,1.0
47,,JR,86,Big Ten,,2016,0,1,0,0,11,0,10,1,https://www.sports-reference.com/cfb/players/montae-nicholson-1.html,2,Montae Nicholson,DB/S,0.0,Michigan State,2026-04-01T19:27:27.787Z,39,season_totals,2.0
21,,SR,70,Big 12,,2016,1,0,0,0,13,1,101,8,https://www.sports-reference.com/cfb/players/rasul-douglas-1.html,8,Rasul Douglas,CB,1.0,West Virginia,2026-04-01T19:27:39.808Z,49,season_totals,3.5
21,,SR,68,Pac-12,,2016,1,0,0,0,12,0,109,4,https://www.sports-reference.com/cfb/players/shalom-luani-1.html,6,Shalom Luani,S,2.0,Washington State,2026-04-01T19:27:45.898Z,47,season_totals,8.5
12,,JR,39,Pac-12,,2016,2,0,0,0,14,0,0,3,https://www.sports-reference.com/cfb/players/sidney-jones-1.html,6,Sidney Jones,DB,0.0,Washington,2026-04-01T19:27:51.849Z,27,season_totals,2.5
12,,SR,58,Pac-12,,2016,0,0,0,0,12,1,88,2,https://www.sports-reference.com/cfb/players/treston-decoud-1.html,10,Treston Decoud,CB,0.0,Oregon State,2026-04-01T19:27:58.137Z,46,season_totals,2.0
30,,SR,87,SEC,,2017,2,2,0,18,12,0,15,4,https://www.sports-reference.com/cfb/players/armani-watts-1.html,5,Armani Watts,DB,0.5,Texas A&M,2026-04-01T19:28:04.104Z,57,season_totals,10.0
7,,SR,27,ACC,,2017,3,1,0,7,10,0,3,2,https://www.sports-reference.com/cfb/players/avonte-maddox-1.html,11,Avonte Maddox,DB,4.0,Pitt,2026-04-01T19:28:10.202Z,20,season_totals,4.0
9,,JR,36,SEC,,2017,1,1,0,12,13,0,0,1,https://www.sports-reference.com/cfb/players/carlton-davis-1.html,11,Carlton Davis,DB,0.0,Auburn,2026-04-01T19:28:16.215Z,27,season_totals,0.5
20,,SR,75,Pac-12,,2017,1,0,0,0,13,0,65,3,https://www.sports-reference.com/cfb/players/dane-cruikshank-1.html,5,Dane Cruikshank,CB,1.5,Arizona,2026-04-01T19:28:28.347Z,55,season_totals,5.5
35,,SO,84,ACC,,2017,0,0,0,0,12,1,41,2,https://www.sports-reference.com/cfb/players/derwin-james-1.html,11,Derwin James,DB,1.0,Florida State,2026-04-01T19:28:40.335Z,49,season_totals,5.5
13,AA,JR,63,Big 12,,2017,3,1,0,0,12,2,127,6,https://www.sports-reference.com/cfb/players/deshon-elliott-1.html,9,DeShon Elliott,S/DB,1.5,Texas,2026-04-01T19:28:46.399Z,50,season_totals,8.5
17,,JR,49,SEC,,2017,0,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/donte-jackson-1.html,10,Donte Jackson,DB,1.0,LSU,2026-04-01T19:28:52.421Z,32,season_totals,3.5
6,,SR,20,ACC,,2017,0,0,0,0,13,1,47,4,https://www.sports-reference.com/cfb/players/greg-stroman-1.html,11,Greg Stroman,CB/WR/DB,0.0,Virginia Tech,2026-04-01T19:28:58.430Z,14,season_totals,0.0
17,,SR,53,ACC,,2017,0,0,0,0,13,0,30,2,https://www.sports-reference.com/cfb/players/isaac-yiadom-1.html,7,Isaac Yiadom,DB,0.0,Boston College,2026-04-01T19:29:05.325Z,36,season_totals,1.0
7,,JR,26,Pac-12,,2017,0,0,0,0,10,0,41,2,https://www.sports-reference.com/cfb/players/isaiah-oliver-1.html,13,Isaiah Oliver,WR/DB,0.0,Colorado,2026-04-01T19:29:10.569Z,19,season_totals,0.0
6,,JR,19,ACC,,2017,0,0,0,0,6,0,0,1,https://www.sports-reference.com/cfb/players/jaire-alexander-1.html,4,Jaire Alexander,CB,0.0,Louisville,2026-04-01T19:29:16.384Z,13,season_totals,1.0
29,,SO,79,ACC,,2017,1,0,0,0,11,0,37,1,https://www.sports-reference.com/cfb/players/jessie-bates-1.html,5,Jessie Bates,DB,0.0,Wake Forest,2026-04-01T19:29:22.526Z,50,season_totals,6.0
19,,JR,60,ACC,,2017,0,1,0,0,9,0,0,1,https://www.sports-reference.com/cfb/players/jordan-whitehead-1.html,4,Jordan Whitehead,DB,0.0,Pitt,2026-04-01T19:29:28.381Z,41,season_totals,0.0
7,,SR,24,Ind,,2012,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/josh-jackson-1.html,0,Josh Jackson,DB,0.0,Army,2026-04-01T19:29:38.179Z,17,season_totals,0.5
47,,JR,99,Pac-12,,2017,0,1,0,0,14,0,1,5,https://www.sports-reference.com/cfb/players/justin-reid-1.html,6,Justin Reid,S,1.0,Stanford,2026-04-01T19:29:38.964Z,52,season_totals,6.5
28,,SR,94,Big 12,,2017,2,1,0,0,13,0,2,3,https://www.sports-reference.com/cfb/players/kyzir-white-1.html,4,Kyzir White,S,1.0,West Virginia,2026-04-01T19:29:44.771Z,66,season_totals,7.5
12,,SR,45,ACC,,2017,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/mj-stewart-1.html,12,M.J. Stewart,CB,2.0,North Carolina,2026-04-01T19:29:50.863Z,33,season_totals,5.0
0,,SR,0,WAC,,2010,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/marcus-allen-1.html,0,Marcus Allen,WR,0.0,New Mexico State,2026-04-01T19:29:56.970Z,0,season_totals,0.0
22,"Bednarik,AA",JR,60,SEC,,2017,1,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/minkah-fitzpatrick-1.html,8,Minkah Fitzpatrick,DB,1.5,Alabama,2026-04-01T19:30:08.961Z,38,season_totals,8.0
19,,SR,51,Big Ten,,2017,0,0,0,0,14,1,40,2,https://www.sports-reference.com/cfb/players/natrell-jamerson-1.html,10,Natrell Jamerson,WR/CB/S,1.5,Wisconsin,2026-04-01T19:30:15.048Z,32,season_totals,3.5
31,,JR,74,SEC,,2017,0,0,0,0,14,0,7,3,https://www.sports-reference.com/cfb/players/ronnie-harrison-1.html,4,Ronnie Harrison,DB,2.5,Alabama,2026-04-01T19:30:27.028Z,43,season_totals,4.5
30,,JR,59,ACC,,2017,0,0,0,0,10,0,70,2,https://www.sports-reference.com/cfb/players/terrell-edmunds-1.html,4,Terrell Edmunds,LB/S,1.5,Virginia Tech,2026-04-01T19:30:37.719Z,29,season_totals,2.5
17,,JR,28,Big Ten,,2016,0,1,0,0,10,0,10,1,https://www.sports-reference.com/cfb/players/troy-apke-1.html,0,Troy Apke,S,0.0,Penn State,2026-04-01T19:30:43.979Z,11,season_totals,0.0
29,,JR,65,Big Ten,,2018,0,0,0,0,13,0,60,4,https://www.sports-reference.com/cfb/players/amani-hooker-1.html,7,Amani Hooker,DB,1.0,Iowa,2026-04-01T19:30:49.948Z,36,season_totals,3.5
11,,SR,51,Big Ten,,2018,1,0,0,0,13,0,-2,3,https://www.sports-reference.com/cfb/players/amani-oruwariye-1.html,12,Amani Oruwariye,CB,0.0,Penn State,2026-04-01T19:30:56.191Z,40,season_totals,2.0
21,,SO,58,Pac-12,,2018,1,0,0,0,14,1,78,4,https://www.sports-reference.com/cfb/players/byron-murphy-1.html,13,Byron Murphy,DB,0.0,Washington,2026-04-01T19:31:01.906Z,37,season_totals,4.0
2,AA,SR,11,SEC,,2018,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/deandre-baker-1.html,3,Deandre Baker,CB/DB,0.0,Georgia,2026-04-01T19:31:20.132Z,9,season_totals,1.0
31,AA,JR,79,SEC,,2018,4,1,0,0,15,0,65,2,https://www.sports-reference.com/cfb/players/deionte-thompson-1.html,6,Deionte Thompson,DB,0.0,Alabama,2026-04-01T19:31:26.209Z,48,season_totals,3.5
0,,SR,0,MAC,,2017,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/donovan-wilson-1.html,0,Donovan Wilson,RB,0.0,Bowling Green,2026-04-01T19:31:32.228Z,0,season_totals,0.0
10,AA,SO,33,SEC,,2018,0,0,0,0,12,0,20,2,https://www.sports-reference.com/cfb/players/greedy-williams-1.html,9,Greedy Williams,CB,0.0,LSU,2026-04-01T19:31:38.546Z,23,season_totals,0.0
21,,SR,72,ACC,,2014,2,2,0,7,13,0,19,1,https://www.sports-reference.com/cfb/players/isaiah-johnson-1.html,5,Isaiah Johnson,DB/S,0.0,Georgia Tech,2026-04-01T19:31:44.335Z,51,season_totals,3.0
