assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,expected_draft_year_source,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
15,,SR,58,ACC,2012,currentPlayer,2011,0,0,0,0,13,0,89,1,https://www.sports-reference.com/cfb/players/mike-harris-1.html,0,Mike Harris,DB,1.0,Florida State,2026-04-02T08:02:24.197Z,43,season_totals,6.0
16,,SR,62,SEC,2012,currentPlayer,2011,0,0,0,0,13,1,107,7,https://www.sports-reference.com/cfb/players/casey-hayward-1.html,0,Casey Hayward,DB,0.0,Vanderbilt,2026-04-02T08:02:44.429Z,46,season_totals,7.5
,,,,ACC,2000,currentPlayer,1999,,,,,11,0,1,2,https://www.sports-reference.com/cfb/players/reggie-austin-1.html,,Reggie Austin,DB,,Wake Forest,2026-04-02T08:02:59.132Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/rashidi-barnes-1.html,,Rashidi Barnes,DB,,Colorado,2026-04-02T08:03:04.203Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,11,1,45,3,https://www.sports-reference.com/cfb/players/david-barrett-2.html,,David Barrett,DB,,Arkansas,2026-04-02T08:03:14.401Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/william-bartee-1.html,,William Bartee,DB,,Oklahoma,2026-04-02T08:03:19.310Z,,season_totals,
,,,,SEC,2000,currentPlayer,1999,,,,,11,0,33,1,https://www.sports-reference.com/cfb/players/robert-bean-1.html,,Robert Bean,DB,,Mississippi State,2026-04-02T08:03:24.187Z,,season_totals,
,,,,MAC,2000,currentPlayer,1999,,,,,12,1,20,4,https://www.sports-reference.com/cfb/players/rogers-beckett-1.html,,Rogers Beckett,DB,,Marshall,2026-04-02T08:03:29.247Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,10,0,12,1,https://www.sports-reference.com/cfb/players/gary-berry-1.html,,Gary Berry,DB,,Ohio State,2026-04-02T08:03:34.331Z,,season_totals,
,,,,Big Ten,2000,currentPlayer,1999,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/matt-bowen-1.html,,Matt Bowen,DB,,Iowa,2026-04-02T08:03:39.271Z,,season_totals,
,,,,Big 12,2000,currentPlayer,1999,,,,,12,0,40,5,https://www.sports-reference.com/cfb/players/mike-brown-18.html,,Mike Brown,DB,,Nebraska,2026-04-02T08:05:09.235Z,,season_totals,
,AA,,,Big 12,2000,currentPlayer,1999,,,,,12,0,82,3,https://www.sports-reference.com/cfb/players/ralph-brown-2.html,,Ralph Brown,DB,,Nebraska,2026-04-02T08:05:19.198Z,,season_totals,
,AA,,,Big Ten,2000,currentPlayer,1999,,,,,11,0,3,0,https://www.sports-reference.com/cfb/players/tyrone-carter-1.html,,Tyrone Carter,DB,,Minnesota,2026-04-02T08:05:24.235Z,,season_totals,
,,,,Big East,2000,currentPlayer,1999,,,,,11,1,34,1,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,,Ike Charlton,DB,,Virginia Tech,2026-04-02T08:05:29.186Z,,season_totals,
