assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
28,AA,JR,46,SEC,2015,0,1,0,9,15,0,0,0,https://www.sports-reference.com/cfb/players/ashawn-robinson-1.html,2,A'Shawn Robinson,DL,3.5,Alabama,2026-04-01T05:23:59.978Z,18,season_totals,7.5
8,,SR,17,SEC,2023,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/zion-logue-1.html,3,Zion Logue,DL,0.5,Georgia,2026-04-01T05:40:48.683Z,9,season_totals,2.5
52,,SR,77,Big Ten,2009,0,0,0,0,13,0,29,5,https://www.sports-reference.com/cfb/players/aj-edds-1.html,0,A.J. Edds,LB,0.0,Iowa,2026-04-01T15:07:09.303Z,25,season_totals,4.0
17,,JR,49,Big Ten,2019,4,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/aj-epenesa-1.html,3,A.J. Epenesa,DE,11.5,Iowa,2026-04-01T15:07:16.552Z,32,season_totals,14.5
52,"H-6,AA",SR,121,Big Ten,2005,2,0,0,0,12,0,24,1,https://www.sports-reference.com/cfb/players/aj-hawk-1.html,0,A.J. Hawk,LB,9.5,Ohio State,2026-04-01T15:07:23.439Z,69,season_totals,16.5
58,,SR,117,Big 12,2012,0,0,0,0,13,1,87,1,https://www.sports-reference.com/cfb/players/aj-klein-1.html,0,A.J. Klein,LB,1.0,Iowa State,2026-04-01T15:07:30.393Z,59,season_totals,3.5
10,,JR,34,ACC,2019,0,0,0,0,15,0,65,2,https://www.sports-reference.com/cfb/players/aj-terrell-1.html,4,A.J. Terrell,CB,0.5,Clemson,2026-04-01T15:07:37.325Z,24,season_totals,0.5
11,,SR,55,Big 12,2013,0,1,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/aaron-colvin-1.html,3,Aaron Colvin,DB,1.0,Oklahoma,2026-04-01T15:07:44.384Z,44,season_totals,5.0
39,,SR,105,ACC,2008,1,0,0,0,13,0,22,1,https://www.sports-reference.com/cfb/players/aaron-curry-1.html,0,Aaron Curry,LB,2.5,Wake Forest,2026-04-01T15:07:51.855Z,66,season_totals,16.0
16,"Nagurski,Bednarik,AA",SR,59,ACC,2013,4,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/aaron-donald-1.html,3,Aaron Donald,DL,11.0,Pitt,2026-04-01T15:07:58.508Z,43,season_totals,28.5
