player_expected,pos_expected,year,sportsref_predicted_url,player_clean,assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player_scraped,pos_scraped,sacks,school,scraped_at,solo_tackles,source_type,tfl
Marcus Williams,S,2017,https://www.sports-reference.com/cfb/players/marcus-williams-1.html,marcus williams,0,,SR,0,CUSA,,2012,0,0,0,0,7,0,0,0,https://www.sports-reference.com/cfb/players/marcus-williams-1.html,0,Marcus Williams,WR,0.0,Houston,2026-04-01T19:27:09.766Z,0,season_totals,0.0
Josh Jackson,CB,2018,https://www.sports-reference.com/cfb/players/josh-jackson-1.html,josh jackson,7,,SR,24,Ind,,2012,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/josh-jackson-1.html,0,Josh Jackson,DB,0.0,Army,2026-04-01T19:29:38.179Z,17,season_totals,0.5
Marcus Allen,S,2018,https://www.sports-reference.com/cfb/players/marcus-allen-1.html,marcus allen,0,,SR,0,WAC,,2010,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/marcus-allen-1.html,0,Marcus Allen,WR,0.0,New Mexico State,2026-04-01T19:29:56.970Z,0,season_totals,0.0
Mike Hughes,CB,2018,https://www.sports-reference.com/cfb/players/mike-hughes-1.html,mike hughes,30,,SR,53,MWC,,2017,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/mike-hughes-3.html,0,Mike Hughes,DL,2.0,Nevada-Las Vegas,2026-04-01T19:58:58.935Z,23,season_totals,7.0
Troy Apke,S,2018,https://www.sports-reference.com/cfb/players/troy-apke-1.html,troy apke,17,,JR,28,Big Ten,,2016,0,1,0,0,10,0,10,1,https://www.sports-reference.com/cfb/players/troy-apke-1.html,0,Troy Apke,S,0.0,Penn State,2026-04-01T19:30:43.979Z,11,season_totals,0.0
David Long,CB,2019,https://www.sports-reference.com/cfb/players/david-long-1.html,david long,35,,JR,111,Big 12,,2018,1,1,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/david-long-2.html,4,David Long,LB,8.0,West Virginia,2026-04-01T20:00:09.816Z,76,season_totals,19.0
Donovan Wilson,S,2019,https://www.sports-reference.com/cfb/players/donovan-wilson-1.html,donovan wilson,0,,SR,0,MAC,,2017,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/donovan-wilson-1.html,0,Donovan Wilson,RB,0.0,Bowling Green,2026-04-01T19:31:32.228Z,0,season_totals,0.0
Isaiah Johnson,CB,2019,https://www.sports-reference.com/cfb/players/isaiah-johnson-1.html,isaiah johnson,21,,SR,72,ACC,,2014,2,2,0,7,13,0,19,1,https://www.sports-reference.com/cfb/players/isaiah-johnson-1.html,5,Isaiah Johnson,DB/S,0.0,Georgia Tech,2026-04-01T19:31:44.335Z,51,season_totals,3.0
Will Harris,S,2019,https://www.sports-reference.com/cfb/players/will-harris-1.html,will harris,32,,SR,69,Pac-10,,2009,1,0,0,0,13,1,62,4,https://www.sports-reference.com/cfb/players/will-harris-1.html,0,Will Harris,DB,0.0,USC,2026-04-01T20:10:56.463Z,37,season_totals,3.5
Brandon Jones,S,2020,https://www.sports-reference.com/cfb/players/brandon-jones-1.html,brandon jones,3,,FR,9,Pac-10,,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-jones-1.html,0,Brandon Jones,DB,0.0,California,2026-04-01T19:35:09.943Z,6,season_totals,0.0
