feature,coefficient,abs_value
num__college_tfl_z,0.05300915569990487,0.05300915569990487
num__college_assisted_tackles_z,0.049995907892834465,0.049995907892834465
num__college_interceptions_z,0.048975247838434134,0.048975247838434134
num__college_fumble_recovery_tds_z,0.030835266739642563,0.030835266739642563
num__college_combined_tackles_z,0.028171480733967375,0.028171480733967375
num__shuttle_sec_z,-0.002641587141762597,0.002641587141762597
num__college_combined_tackles_missing,0.0,0.0
num__height_in_missing,0.0,0.0
num__weight_lb_missing,0.0,0.0
num__college_games_missing,0.0,0.0
num__college_interceptions_missing,-0.0,0.0
num__college_interception_yards_missing,-0.0,0.0
num__college_interception_tds_missing,0.0,0.0
num__college_passes_defended_missing,0.0,0.0
num__forty_yard_sec_z,-0.0,0.0
num__three_cone_sec_missing,-0.0,0.0
num__college_solo_tackles_missing,0.0,0.0
num__college_assisted_tackles_missing,0.0,0.0
num__college_sacks_missing,0.0,0.0
num__college_tfl_missing,0.0,0.0
num__college_forced_fumbles_missing,0.0,0.0
num__college_fumble_recoveries_missing,-0.0,0.0
num__college_fumble_recovery_yards_missing,-0.0,0.0
num__college_fumble_recovery_tds_missing,-0.0,0.0
cat__Pos_CB,-0.0,0.0
num__shuttle_sec_missing,-0.0,0.0
num__vertical_jump_in_missing,-0.0,0.0
num__broad_jump_in_missing,-0.0,0.0
num__college_interception_tds_z,0.0,0.0
num__bench_reps_z,0.0,0.0
num__broad_jump_in_z,0.0,0.0
num__three_cone_sec_z,-0.0,0.0
num__height_in_z,-0.0,0.0
num__weight_lb_z,0.0,0.0
num__college_games_z,0.0,0.0
num__college_interception_yards_z,0.0,0.0
num__college_passes_defended_z,-0.0,0.0
num__bench_reps_missing,-0.0,0.0
num__college_solo_tackles_z,0.0,0.0
num__college_sacks_z,0.0,0.0
num__college_forced_fumbles_z,0.0,0.0
num__college_fumble_recoveries_z,0.0,0.0
num__college_fumble_recovery_yards_z,0.0,0.0
num__forty_yard_sec_missing,-0.0,0.0
num__vertical_jump_in_z,0.0,0.0
cat__Pos_S,0.0,0.0
