feature,importance,abs_value
num__shuttle_sec_z,0.13821685827019625,0.13821685827019625
num__college_combined_tackles_z,0.09527794930835692,0.09527794930835692
num__college_tfl_z,0.08056147531741244,0.08056147531741244
num__forty_yard_sec_z,0.07821127985646786,0.07821127985646786
num__weight_lb_z,0.07736370991536089,0.07736370991536089
num__bench_reps_z,0.07590837044751703,0.07590837044751703
num__college_interceptions_z,0.07446255948856231,0.07446255948856231
num__college_solo_tackles_z,0.057248044302152745,0.057248044302152745
num__college_games_z,0.048238888119779624,0.048238888119779624
num__college_assisted_tackles_z,0.047049269595195044,0.047049269595195044
num__three_cone_sec_z,0.04576908311279776,0.04576908311279776
num__broad_jump_in_z,0.044418088878390945,0.044418088878390945
num__vertical_jump_in_z,0.04080144233505287,0.04080144233505287
num__college_passes_defended_z,0.022490969337753988,0.022490969337753988
num__college_forced_fumbles_z,0.013193706922305735,0.013193706922305735
num__college_interception_yards_z,0.012116195279027775,0.012116195279027775
num__college_fumble_recovery_tds_z,0.012074173101823585,0.012074173101823585
num__college_fumble_recovery_yards_z,0.009408442990043744,0.009408442990043744
num__college_interception_tds_z,0.006676165224316464,0.006676165224316464
num__college_sacks_z,0.006459667020656715,0.006459667020656715
num__bench_reps_missing,0.0037544421755631016,0.0037544421755631016
num__three_cone_sec_missing,0.0030207538272544452,0.0030207538272544452
num__college_interceptions_missing,0.002727460032406155,0.002727460032406155
num__college_fumble_recoveries_z,0.002082323451853928,0.002082323451853928
num__college_interception_yards_missing,0.0010880000527920173,0.0010880000527920173
num__height_in_z,0.000558943032194975,0.000558943032194975
num__forty_yard_sec_missing,0.00043710181197037816,0.00043710181197037816
num__college_fumble_recoveries_missing,0.00038463679279421346,0.00038463679279421346
num__college_sacks_missing,0.0,0.0
num__college_tfl_missing,0.0,0.0
cat__Pos_CB,0.0,0.0
num__college_forced_fumbles_missing,0.0,0.0
num__college_fumble_recovery_yards_missing,0.0,0.0
num__college_fumble_recovery_tds_missing,0.0,0.0
num__college_solo_tackles_missing,0.0,0.0
num__college_assisted_tackles_missing,0.0,0.0
num__vertical_jump_in_missing,0.0,0.0
num__college_combined_tackles_missing,0.0,0.0
num__college_passes_defended_missing,0.0,0.0
num__college_interception_tds_missing,0.0,0.0
num__college_games_missing,0.0,0.0
num__weight_lb_missing,0.0,0.0
num__height_in_missing,0.0,0.0
num__shuttle_sec_missing,0.0,0.0
num__broad_jump_in_missing,0.0,0.0
cat__Pos_S,0.0,0.0
