feature,importance,abs_value
num__shuttle_sec_z,0.133467606842645,0.133467606842645
num__college_combined_tackles_z,0.11347813675319751,0.11347813675319751
num__college_interceptions_z,0.08816246333666812,0.08816246333666812
num__bench_reps_z,0.06723714605289509,0.06723714605289509
num__forty_yard_sec_z,0.06544648714396109,0.06544648714396109
num__college_interception_yards_z,0.06525512888667799,0.06525512888667799
num__weight_lb_z,0.05612154417019552,0.05612154417019552
num__college_fumble_recovery_yards_z,0.053579963688627,0.053579963688627
num__college_fumble_recoveries_z,0.04507051771641701,0.04507051771641701
num__broad_jump_in_z,0.044092194797216114,0.044092194797216114
num__three_cone_sec_z,0.0400795698179805,0.0400795698179805
num__vertical_jump_in_z,0.03799846498902079,0.03799846498902079
num__college_solo_tackles_z,0.03613211369724266,0.03613211369724266
num__college_tfl_z,0.03589911137786626,0.03589911137786626
num__college_games_z,0.02983585399565487,0.02983585399565487
num__college_assisted_tackles_z,0.023441428923381497,0.023441428923381497
num__college_passes_defended_z,0.023305903675073996,0.023305903675073996
num__height_in_z,0.013150111897430468,0.013150111897430468
num__college_sacks_z,0.009747633974569824,0.009747633974569824
num__bench_reps_missing,0.007409480795444589,0.007409480795444589
num__college_interception_tds_z,0.0037571506384295006,0.0037571506384295006
num__three_cone_sec_missing,0.0036065344917499153,0.0036065344917499153
num__college_forced_fumbles_z,0.0027086723164335843,0.0027086723164335843
cat__Pos_S,0.0010167800212211137,0.0010167800212211137
num__forty_yard_sec_missing,0.0,0.0
num__broad_jump_in_missing,0.0,0.0
cat__Pos_CB,0.0,0.0
num__college_fumble_recovery_tds_missing,0.0,0.0
num__college_fumble_recovery_yards_missing,0.0,0.0
num__college_fumble_recoveries_missing,0.0,0.0
num__college_forced_fumbles_missing,0.0,0.0
num__college_tfl_missing,0.0,0.0
num__college_sacks_missing,0.0,0.0
num__college_assisted_tackles_missing,0.0,0.0
num__college_solo_tackles_missing,0.0,0.0
num__college_combined_tackles_missing,0.0,0.0
num__college_passes_defended_missing,0.0,0.0
num__college_interception_tds_missing,0.0,0.0
num__college_interception_yards_missing,0.0,0.0
num__college_interceptions_missing,0.0,0.0
num__college_games_missing,0.0,0.0
num__weight_lb_missing,0.0,0.0
num__height_in_missing,0.0,0.0
num__shuttle_sec_missing,0.0,0.0
num__college_fumble_recovery_tds_z,0.0,0.0
num__vertical_jump_in_missing,0.0,0.0
