feature,coefficient,abs_value
num__combine_year,-48.79803129439054,48.79803129439054
num__college_interceptions,27.669910623941703,27.669910623941703
num__college_interceptions_z,27.669910623941696,27.669910623941696
num__weight_lb,19.73961044794431,19.73961044794431
num__weight_lb_z,19.7396104479443,19.7396104479443
num__three_cone_sec_missing,-18.216732882700803,18.216732882700803
num__forty_yard_sec_z,-17.139558828237977,17.139558828237977
num__forty_yard_sec,-17.139558828237945,17.139558828237945
num__college_fumble_recovery_tds,16.391221921568334,16.391221921568334
num__college_fumble_recovery_tds_z,16.39122192156831,16.39122192156831
num__college_assisted_tackles,15.245743566097223,15.245743566097223
num__college_assisted_tackles_z,15.245743566097223,15.245743566097223
num__college_fumble_recoveries,14.593922629076163,14.593922629076163
num__college_fumble_recoveries_z,14.593922629076138,14.593922629076138
cat__Player_Harrison Smith,11.848954945065799,11.848954945065799
num__college_tfl_z,11.741445659820613,11.741445659820613
num__college_tfl,11.741445659820581,11.741445659820581
cat__Pos_CB,11.628760032583553,11.628760032583553
cat__Pos_S,-11.628760032583445,11.628760032583445
num__vertical_jump_in_missing,10.01365321059583,10.01365321059583
cat__Player_Charles Tillman,9.811077697851701,9.811077697851701
cat__Player_Devin McCourty,9.697073011214362,9.697073011214362
cat__Player_Jessie Bates,9.489325327591612,9.489325327591612
cat__Player_Nate Clements,9.1398355601917,9.1398355601917
cat__Player_Kareem Jackson,8.97580076195295,8.97580076195295
cat__Player_Quentin Jammer,8.947558826742714,8.947558826742714
num__college_sacks_z,8.701143465444755,8.701143465444755
num__college_sacks,8.701143465444753,8.701143465444753
cat__Player_Will Allen,8.623382404856592,8.623382404856592
cat__Player_Antrel Rolle,8.259657247271335,8.259657247271335
cat__Player_Eric Weddle,8.177122592425155,8.177122592425155
cat__Player_Reggie Nelson,7.744306300540714,7.744306300540714
num__shuttle_sec_z,-7.738194001992844,7.738194001992844
num__shuttle_sec,-7.7381940019928095,7.7381940019928095
cat__Player_Joe Haden,7.6987718941312115,7.6987718941312115
cat__Player_Asante Samuel,7.612382375189411,7.612382375189411
cat__Player_Glover Quin,7.553251354110465,7.553251354110465
num__vertical_jump_in,7.381431513119479,7.381431513119479
num__vertical_jump_in_z,7.381431513119371,7.381431513119371
cat__Player_Darius Slay,7.16334821535689,7.16334821535689
cat__Player_Kendall Fuller,7.105426840555805,7.105426840555805
cat__Player_Obi Melifonwu,-7.090312744478534,7.090312744478534
cat__Player_Marcus Trufant,6.9939741112051665,6.9939741112051665
cat__Player_Logan Ryan,6.991861247301528,6.991861247301528
cat__Player_Michael Griffin,6.855637280486974,6.855637280486974
cat__Player_Roman Harper,6.840280095022937,6.840280095022937
cat__Player_Renaldo Hill,6.661304619386817,6.661304619386817
cat__Player_Chris Gamble,6.540926234871309,6.540926234871309
cat__Player_Reshad Jones,6.512094411977521,6.512094411977521
cat__Player_Darrelle Revis,6.409310201865098,6.409310201865098
cat__Player_Dunta Robinson,6.339035022517826,6.339035022517826
cat__Player_Leon Hall,6.316591003696505,6.316591003696505
num__college_interception_tds,6.311858518064115,6.311858518064115
num__college_interception_tds_z,6.311858518064103,6.311858518064103
cat__Player_Marcus Peters,6.278613631497054,6.278613631497054
cat__Player_Deon Grant,6.186557918474805,6.186557918474805
cat__Player_David Long,-6.183418172019069,6.183418172019069
num__college_interception_yards_missing,-6.019561400144125,6.019561400144125
num__college_interceptions_missing,-6.019561400144125,6.019561400144125
cat__Player_Dashon Goldson,6.018824667615004,6.018824667615004
cat__Player_Ken Lucas,5.9560776090920795,5.9560776090920795
num__broad_jump_in_z,5.954739611850932,5.954739611850932
num__broad_jump_in,5.954739611850882,5.954739611850882
num__three_cone_sec_z,-5.9476611299792035,5.9476611299792035
num__three_cone_sec,-5.947661129979068,5.947661129979068
cat__Player_Quandre Diggs,5.853834715682894,5.853834715682894
cat__Player_Jordan Poyer,5.851578479704368,5.851578479704368
cat__Player_Mark Barron,5.831649930897447,5.831649930897447
cat__Player_Jalen Ramsey,5.807478476159642,5.807478476159642
cat__Player_Jalen Mills,5.728828977874901,5.728828977874901
num__college_fumble_recovery_yards,-5.702636212143866,5.702636212143866
num__college_fumble_recovery_yards_z,-5.702636212143816,5.702636212143816
