Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1250.45
Eric Weddle,S,2007,1178.85
Terence Newman,CB,2003,1160.6999999999998
Thomas Davis,S,2005,1097.5
Malcolm Jenkins,CB,2009,1083.35
Charles Tillman,CB,2003,1078.3000000000002
Devin McCourty,CB,2010,1066.1999999999998
DeAngelo Hall,CB,2004,1028.1
Kareem Jackson,CB,2010,1010.5
Nate Clements,CB,2001,1010.3499999999999
Ed Reed,S,2002,988.0
Reggie Nelson,S,2007,958.05
Jordan Poyer,CB,2013,951.05
Troy Polamalu,S,2003,915.0999999999999
Darius Slay,CB,2013,907.5000000000001
Deon Grant,S,2000,905.1499999999999
Quentin Jammer,CB,2002,891.7
Budda Baker,S,2017,878.3
Patrick Peterson,CB,2011,868.3
Joe Haden,CB,2010,861.1
Antrel Rolle,CB,2005,856.4999999999999
Logan Ryan,CB,2013,837.1
Donte Whitner,S,2006,834.5
Sheldon Brown,CB,2002,834.3
Jessie Bates,S,2018,828.0
