Player,Pos,combine_year,NFL_production_value
Nate Clements,CB,2001,1993.5
Micah Hyde,CB,2013,1779.0
Devin McCourty,CB,2010,1761.0
Harrison Smith,S,2012,1571.5
Eric Weddle,S,2007,1570.0
Terence Newman,CB,2003,1513.0
Thomas Davis,S,2005,1435.0
DeAngelo Hall,CB,2004,1419.0
Malcolm Jenkins,CB,2009,1409.5
Jabrill Peppers,S,2017,1384.5
Charles Tillman,CB,2003,1362.0
Michael Griffin,S,2007,1323.0
Ed Reed,S,2002,1320.5
Jordan Poyer,CB,2013,1294.0
Kareem Jackson,CB,2010,1264.5
Adoree Jackson,CB,2017,1212.0
Patrick Peterson,CB,2011,1193.5
Budda Baker,S,2017,1171.0
Captain Munnerlyn,CB,2009,1167.5
Antrel Rolle,CB,2005,1158.0
Reggie Nelson,S,2007,1147.0
Troy Polamalu,S,2003,1136.0
Donte Whitner,S,2006,1093.5
Hank Poteat,CB,2000,1087.0
Deon Grant,S,2000,1071.0
