combine_file,combine_year,combine_player,best_ratio_seen,note,matched_athlete_id
2000.csv,2000,Darnell Alford,,no confident match (NFL_id=N/A),
2000.csv,2000,Mark Baniewicz,,no confident match (NFL_id=N/A),
2000.csv,2000,Michael Boireau,,no confident match (NFL_id=N/A),
2000.csv,2000,Giovanni Carmazzi,,no confident match (NFL_id=N/A),
2000.csv,2000,Joey Chustz,,no confident match (NFL_id=N/A),
2000.csv,2000,John Frank,,no confident match (NFL_id=N/A),
2000.csv,2000,Jason Gavadza,,no confident match (NFL_id=N/A),
2000.csv,2000,Sherrod Gideon,,no confident match (NFL_id=N/A),
2000.csv,2000,Thomas Hamner,,no confident match (NFL_id=N/A),
2000.csv,2000,Jeff Harris,,no confident match (NFL_id=N/A),
2000.csv,2000,Ethan Howell,,no confident match (NFL_id=N/A),
2000.csv,2000,Matt Johnson,,no confident match (NFL_id=N/A),
2000.csv,2000,Andrew Kline,,no confident match (NFL_id=N/A),
2000.csv,2000,Anthony Lucas,,no confident match (NFL_id=N/A),
2000.csv,2000,Chris McIntosh,,no confident match (NFL_id=N/A),
2000.csv,2000,Richard Mercier,,no confident match (NFL_id=N/A),
2000.csv,2000,Muneer Moore,,no confident match (NFL_id=N/A),
2000.csv,2000,Kaulana Noa,,no confident match (NFL_id=N/A),
2000.csv,2000,Mareno Philyaw,,no confident match (NFL_id=N/A),
2000.csv,2000,Quinton Reese,,no confident match (NFL_id=N/A),
2000.csv,2000,Manuia Savea,,no confident match (NFL_id=N/A),
2000.csv,2000,Richard Seals,,no confident match (NFL_id=N/A),
2000.csv,2000,Wes Shivers,,no confident match (NFL_id=N/A),
2000.csv,2000,Jason Thomas,,no confident match (NFL_id=N/A),
2000.csv,2000,Austin Wheatley,,no confident match (NFL_id=N/A),
2001.csv,2001,Josh Booty,,no confident match (NFL_id=N/A),
2001.csv,2001,John Capel,,no confident match (NFL_id=N/A),
2001.csv,2001,Rick Crowell,,no confident match (NFL_id=N/A),
2001.csv,2001,Ennis Davis,,no confident match (NFL_id=N/A),
2001.csv,2001,Char-Ron Dorsey,,no confident match (NFL_id=N/A),
2001.csv,2001,Shawn Draper,,no confident match (NFL_id=N/A),
2001.csv,2001,Bill Ferrario,,no confident match (NFL_id=N/A),
2001.csv,2001,Dauntae' Finger,,no confident match (NFL_id=N/A),
2001.csv,2001,Randy Garner,,no confident match (NFL_id=N/A),
2001.csv,2001,Adam Haayer,,no confident match (NFL_id=N/A),
2001.csv,2001,Josh Heupel,,no confident match (NFL_id=N/A),
2001.csv,2001,Menson Holloway,,no confident match (NFL_id=N/A),
2001.csv,2001,Kenyatta Jones,,no confident match (NFL_id=N/A),
2001.csv,2001,David Leaverton,,no confident match (NFL_id=N/A),
2001.csv,2001,Victor Leyva,,no confident match (NFL_id=N/A),
2001.csv,2001,Alex Lincoln,,no confident match (NFL_id=N/A),
2001.csv,2001,Arther Love,,no confident match (NFL_id=N/A),
2001.csv,2001,Dwayne Missouri,,no confident match (NFL_id=N/A),
2001.csv,2001,Bobby Newcombe,,no confident match (NFL_id=N/A),
2001.csv,2001,Mathias Nkwenti,,no confident match (NFL_id=N/A),
2001.csv,2001,Dennis Norman,,no confident match (NFL_id=N/A),
2001.csv,2001,Bernard Robertson,,no confident match (NFL_id=N/A),
2001.csv,2001,Elliot Silvers,,no confident match (NFL_id=N/A),
2001.csv,2001,Alex Sulfsted,,no confident match (NFL_id=N/A),
2001.csv,2001,Paul Toviessi,,no confident match (NFL_id=N/A),
2001.csv,2001,Michael Vick,,no confident match (NFL_id=N/A),
2001.csv,2001,Chad Ward,,no confident match (NFL_id=N/A),
2001.csv,2001,Louis Williams,,no confident match (NFL_id=N/A),
2001.csv,2001,Brandon Winey,,no confident match (NFL_id=N/A),
2002.csv,2002,Matt Anderle,,no confident match (NFL_id=N/A),
2002.csv,2002,Mark Anelli,,no confident match (NFL_id=N/A),
2002.csv,2002,Clenton Ballard,,no confident match (NFL_id=N/A),
2002.csv,2002,Chad Beasley,,no confident match (NFL_id=N/A),
2002.csv,2002,Martin Bibla,,no confident match (NFL_id=N/A),
2002.csv,2002,Pete Campion,,no confident match (NFL_id=N/A),
2002.csv,2002,Terry Charles,,no confident match (NFL_id=N/A),
2002.csv,2002,Reggie Coleman,,no confident match (NFL_id=N/A),
2002.csv,2002,Eric Crouch,,no confident match (NFL_id=N/A),
2002.csv,2002,Brandon Doman,,no confident match (NFL_id=N/A),
2002.csv,2002,Nate Dwyer,,no confident match (NFL_id=N/A),
2002.csv,2002,Toniu Fonoti,,no confident match (NFL_id=N/A),
2002.csv,2002,LaVar Glover,,no confident match (NFL_id=N/A),
2002.csv,2002,Matt Hill,,no confident match (NFL_id=N/A),
2002.csv,2002,Aaron Lockett,,no confident match (NFL_id=N/A),
2002.csv,2002,Freddie Milons,,no confident match (NFL_id=N/A),
